frame,type,x,y
50,PowerUp-SpeedUp,1000,100
100,PowerUp-ShotUp,1000,140
210,PowerUp-SpeedUp,1000,100
230,PowerUp-ShotUp,1000,140
310,PowerUp-SpeedUp,1000,100
350,PowerUp-ShotUp,1000,140
410,PowerUp-SpeedUp,1000,100
510,PowerUp-SpeedUp,1000,100
800,PowerUp-ShotUp,1000,140
200,Alien1,1000,200
300,Alien1,1000,300
400,Alien1,1000,400
401,Alien1,1000,450
402,Alien1,1000,500
403,Alien1,1000,550
500,Alien1,1000,100
501,Alien1,1000,150
502,Alien1,1000,200
503,Alien1,1000,350
504,Alien1,1000,500
505,Alien1,1000,600
600,Alien2,1000,250
601,Alien2,1000,300
602,Alien2,1000,350
603,Alien2,1000,400
604,Alien2,1000,450
700,Alien2,1000,120
701,Alien2,1000,170
702,Alien2,1000,220
703,Alien2,1000,270
704,Alien2,1000,320
705,Alien2,1000,370
706,Alien2,1000,420
707,Alien2,1000,470
