frame,type,x,y
500,PowerUp-SpeedUp,100,-30
1000,PowerUp-ShotUp,200,-30
1500,PowerUp-SpeedUp,300,-30
2000,PowerUp-ShotUp,400,-30
2500,PowerUp-SpeedUp,500,-30
3000,PowerUp-ShotUp,600,-30
3500,PowerUp-SpeedUp,150,-30
4000,PowerUp-ShotUp,250,-30
4500,PowerUp-SpeedUp,350,-30
5000,PowerUp-ShotUp,450,-30
5500,PowerUp-SpeedUp,550,-30
6000,PowerUp-ShotUp,650,-30
6500,PowerUp-SpeedUp,120,-30
7000,PowerUp-ShotUp,220,-30
7500,PowerUp-SpeedUp,320,-30
8000,PowerUp-ShotUp,420,-30
8500,PowerUp-SpeedUp,520,-30
9000,PowerUp-ShotUp,620,-30
9500,PowerUp-SpeedUp,170,-30
10000,PowerUp-ShotUp,270,-30
10500,PowerUp-SpeedUp,370,-30
11000,PowerUp-ShotUp,470,-30
11500,PowerUp-SpeedUp,570,-30
12000,PowerUp-ShotUp,670,-30
12500,PowerUp-SpeedUp,140,-30
13000,PowerUp-ShotUp,240,-30
13500,PowerUp-SpeedUp,340,-30
14000,PowerUp-ShotUp,440,-30
14500,PowerUp-SpeedUp,540,-30
15000,PowerUp-ShotUp,640,-30
15500,PowerUp-SpeedUp,110,-30
16000,PowerUp-ShotUp,210,-30
16500,PowerUp-SpeedUp,310,-30
17000,PowerUp-ShotUp,410,-30
17500,PowerUp-SpeedUp,510,-30
18000,PowerUp-ShotUp,610,-30
